"city","ID","Created Date","Updated Date","Owner","states","Specialization","Language"
"Siddharthnagar, Uttar Pradesh","0082c989-8115-4534-aa20-fc49a41adb94",2023-07-20T10:40:23Z,2023-07-20T10:40:23Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Nalgonda, Telangana","00c3a40f-a2e7-44b9-98e0-5e4e4c1ab225",2023-07-20T10:40:22Z,2023-07-20T10:40:22Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Anand, Gujarat","00f77d8c-ada6-49a3-99c4-5a3119fc498a",2023-07-20T10:40:18Z,2023-07-20T10:40:18Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Jind, Haryana","01352349-51a5-4265-8a40-47a2fd6ba0a8",2023-07-20T10:40:18Z,2023-07-20T10:40:18Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Agartala, Tripura","015f534f-c86d-4755-929a-20b2bf6bf6b0",2023-07-20T10:40:22Z,2023-08-11T09:32:57Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,"Tamil"
"South Garo Hills, Meghalaya","01ab2a86-403b-491a-9074-e2afa80c0879",2023-07-20T10:40:20Z,2023-07-20T10:40:20Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Agra, Uttar Pradesh","025f2583-fd5f-4914-9f93-e8ed323e7e45",2023-07-20T10:40:22Z,2023-08-11T09:33:03Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,"Telegu"
"Raichur, Karnataka","034ae495-d8ec-42f0-8533-d54ac599b447",2023-07-20T10:40:19Z,2023-07-20T10:40:19Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Chandel, Manipur","04413d77-ac0a-425f-9093-cc5743da9ca8",2023-07-20T10:40:20Z,2023-07-20T10:40:20Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Sangli, Maharashtra","04a7c3e1-14f8-429a-86f4-bc5c78dc7562",2023-07-20T10:40:20Z,2023-07-20T10:40:20Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Noney, Manipur","04fa29e3-d01b-45d3-ba9d-d541755a40f0",2023-07-20T10:40:20Z,2023-07-20T10:40:20Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Sri Ganganagar, Rajasthan","0512be14-f152-47bb-9bac-f9059a412dc3",2023-07-20T10:40:21Z,2023-07-20T10:40:21Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Peren, Nagaland","053b9ef0-58c1-44d5-9b1d-49ae2a86c694",2023-07-20T10:40:21Z,2023-07-20T10:40:21Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Guntur, Andhra Pradesh","05b81d54-7093-48f6-91d9-213d9e81013f",2023-07-20T10:40:17Z,2023-07-20T10:40:17Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Singrauli, Madhya Pradesh","05fd3584-68df-41ac-9668-8a16fd63055c",2023-07-20T10:40:20Z,2023-07-20T10:40:20Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Dindori, Madhya Pradesh","062648d6-722d-4be9-8ee3-53fb24507830",2023-07-20T10:40:19Z,2023-07-20T10:40:19Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Tengnoupal, Manipur","064954b1-f454-4aac-be75-d2e2288b69a5",2023-07-20T10:40:20Z,2023-07-20T10:40:20Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Kapurthala, Punjab","0669b818-e433-41c4-97f2-ffe529a517ae",2023-07-20T10:40:21Z,2023-07-20T10:40:21Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Shahjahanpur, Uttar Pradesh","068960d5-9c26-4a31-b2ce-166329efd3ee",2023-07-20T10:40:23Z,2023-07-20T10:40:23Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Jiribam, Manipur","06a20cb7-46d2-422d-af80-ea65bd216200",2023-07-20T10:40:20Z,2023-07-20T10:40:20Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
"Washim, Maharashtra","079ca98d-b681-4553-83b8-dbc1fee76a6e",2023-07-20T10:40:20Z,2023-07-20T10:40:20Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52",,,
